iter	MultiClass
0	0.8698867424
1	0.7462466518
2	0.6892386587
3	0.6468536522
4	0.6155592615
5	0.5970913069
6	0.5850723054
7	0.5636704585
8	0.5511995506
9	0.5424718444
10	0.5372410297
11	0.5314030867
12	0.5286335507
13	0.5238943373
14	0.5223934104
15	0.5205842879
16	0.5139862096
17	0.5102433387
18	0.5082151343
19	0.5059215385
20	0.503475968
21	0.5019063971
22	0.4963865759
23	0.4948251159
24	0.4918519739
25	0.4901072918
26	0.4880723195
27	0.4871925396
28	0.4858529867
29	0.4852184486
30	0.4836488158
31	0.4823514819
32	0.4808524066
33	0.4787437003
34	0.4771817904
35	0.4751547398
36	0.4742501132
37	0.4733831147
38	0.4725367154
39	0.4716888028
40	0.4711337622
41	0.4707159872
42	0.4690101815
43	0.4686250983
44	0.4677813576
45	0.4665086874
46	0.4654147649
47	0.4634436389
48	0.4624799517
49	0.4622999203
50	0.4619557062
51	0.4607008531
52	0.4603264307
53	0.4596013751
54	0.4582493353
55	0.457644364
56	0.4569057414
57	0.4562501194
58	0.4552132778
59	0.4546974956
60	0.4542727445
61	0.4533646501
62	0.4526826141
63	0.4522082972
64	0.4516715914
65	0.4510449333
66	0.4502801999
67	0.449554692
68	0.4491310484
69	0.4486838156
70	0.4480215485
71	0.4468316155
72	0.446633138
73	0.4462894473
74	0.4459542968
75	0.4455701148
76	0.4450792597
77	0.4445972909
78	0.4440036919
79	0.4435098979
80	0.4426608869
81	0.4419917043
82	0.4412195688
83	0.4408576708
84	0.4401214814
85	0.4395156028
86	0.4392376306
87	0.4385660323
88	0.4378546531
89	0.4375110021
90	0.4369923647
91	0.4366042879
92	0.4361341839
93	0.4356862083
94	0.4353917976
95	0.4351489449
96	0.4348531434
97	0.4342021109
98	0.4337198279
99	0.4335782047
