iter	Passed	Remaining
0	130	12939
1	251	12308
2	379	12274
3	518	12452
4	647	12297
5	799	12533
6	991	13177
7	1119	12871
8	1273	12874
9	1409	12685
10	1561	12631
11	1690	12399
12	1839	12310
13	1971	12110
14	2128	12059
15	2260	11867
16	2391	11678
17	2526	11509
18	2654	11316
19	2786	11145
20	2930	11024
21	3073	10898
22	3184	10661
23	3301	10454
24	3420	10260
25	3542	10081
26	3674	9935
27	3836	9866
28	3974	9730
29	4120	9614
30	4259	9480
31	4386	9321
32	4526	9190
33	4666	9058
34	4799	8913
35	4942	8787
36	5081	8652
37	5205	8492
38	5336	8346
39	5468	8202
40	5604	8064
41	5760	7955
42	5900	7821
43	6047	7696
44	6189	7565
45	6329	7429
46	6468	7294
47	6589	7139
48	6707	6981
49	6853	6853
50	6975	6701
51	7097	6551
52	7232	6413
53	7355	6265
54	7485	6124
55	7614	5983
56	7733	5833
57	7860	5691
58	7983	5548
59	8126	5417
60	8247	5272
61	8386	5139
62	8518	5002
63	8655	4868
64	8791	4734
65	8908	4589
66	9044	4454
67	9162	4311
68	9306	4181
69	9450	4050
70	9573	3910
71	9681	3765
72	9824	3633
73	9961	3500
74	10103	3367
75	10240	3233
76	10375	3099
77	10518	2966
78	10639	2828
79	10781	2695
80	10916	2560
81	11041	2423
82	11178	2289
83	11326	2157
84	11458	2022
85	11599	1888
86	11731	1752
87	11861	1617
88	11993	1482
89	12131	1347
90	12257	1212
91	12392	1077
92	12532	943
93	12642	806
94	12769	672
95	12902	537
96	13029	402
97	13164	268
98	13285	134
99	13428	0
